Этап;Сотрудник;Цена часа;Время в часах;Календарный срок в днях;Стоимость шага;Доля в выполнении;Удельное время;Удельная стоимость
ИТОГО — ШАГ 13;;;30;26;37500;;24.1;28760
ШАГ 14. Обновить данные в системах и запустить контроль отклонений;;;;;;;;;
Активировать новые стандартные себестоимости и ставки в системе;Калькулятор;1200;2;1;2400;1;2;2400
Провести контрольную проверку — сверить несколько позиций вручную;Калькулятор;1200;3;1;3600;1;3;3600
Проверить что отчёты план/факт перестроились на новые данные;Калькулятор;1200;2;1;2400;1;2;2400
Направить уведомление службам об активации новых ставок и дате вступления;Координатор;1100;1;1;1100;1;1;1100
ИТОГО — ШАГ 14;;;8;4;9500;;8;9500
БЛОК 2. ПРОИЗВОДСТВЕННОЕ ПЛАНИРОВАНИЕ;;;;;;;;;
ШАГ 15. Рассчитать нормативный срок изготовления тепловоза;;;;;;;;;
Выгрузить нормо-часы по операциям в разрезе производственных участков;Плановик;1300;2;1;2600;1;2;2600
Сопоставить операции с производственным календарём и режимом работы участков;Плановик;1300;6;1;7800;1;6;7800
Рассчитать длительность цикла по узлам с учётом параллельности операций;Плановик;1300;12;2;15600;1;12;15600
Добавить нормативные сроки поставки ключевых покупных комплектующих;Плановик;1300;2;1;2600;1;2;2600
Получить итоговый нормативный срок от запуска до сдачи тепловоза;Плановик;1300;2;1;2600;1;2;2600
ИТОГО — ШАГ 15;;;24;6;31200;;24;31200
ШАГ 16. Оценить доступные производственные мощности;;;;;;;;;
Запросить у производства данные о загрузке участков и оборудования на расчётный период;Координатор;1100;1;1;1100;1;1;1100
Ожидание ответа от производства;—;0;0;5;0;1;0;0
Направить напоминание при отсутствии ответа в срок;Координатор;1100;0.5;1;550;0.5;0.25;275
Сопоставить потребность по тепловозу с доступными мощностями;Плановик;1300;4;1;5200;1;4;5200
Выявить узкие места — участки с недостаточной пропускной способностью;Плановик;1300;3;1;3900;1;3;3900
Оформить справку о доступных мощностях с выводом о реалистичности срока;Плановик;1300;3;1;3900;1;3;3900
ИТОГО — ШАГ 16;;;11.5;10;14650;;11.25;14375
ШАГ 17. Сформировать и согласовать производственный график;;;;;;;;;
Определить возможную дату запуска с учётом комплектующих и мощностей;Плановик;1300;2;1;2600;1;2;2600
Составить укрупнённый производственный график по узлам и этапам сборки;Плановик;1300;10;2;13000;1;10;13000
Направить проект графика на согласование в производство и снабжение одновременно;Координатор;1100;1;1;1100;1;1;1100
Ожидание ответов;—;0;0;5;0;1;0;0
Направить напоминания при отсутствии ответа в срок;Координатор;1100;0.5;1;550;0.5;0.25;275
Скорректировать график по полученным замечаниям;Плановик;1300;3;1;3900;0.6;1.8;2340
Согласовать итоговый график;Координатор;1100;1;1;1100;1;1;1100
Передать утверждённый график руководителю;Координатор;1100;0.5;1;550;1;0.5;550
Зафиксировать плановую дату сдачи как основу для коммерческого предложения;Руководитель;2000;1;1;2000;1;1;2000
ИТОГО — ШАГ 17;;;19;14;24800;;17.55;22965
ИТОГО ОБЩЕЕ;;;289;;353150;;267.55;325880
