Этап;Сотрудник;Цена часа;Время в часах;Календарный срок в днях;Стоимость шага;Доля в выполнении;Удельное время;Удельная стоимость
Проверить результаты на аномалии;Калькулятор;1200;0.5;1;600;1;0.5;600
Устранить ошибки или объяснить обоснованные отклонения;Калькулятор;1200;1;1;1200;0.6;0.6;720
ИТОГО — ШАГ 8;;;1.8;5;1800;;1.4;1320
ШАГ 9. Рассчитать прямые затраты труда и оборудования по маршрутам;;;;;;;;;
Выгрузить маршруты и нормы по всем позициям из системы;ИИ-агент;0;0.1;1;0;1;0.1;0
Применить актуальные ставки к нормо-часам и машино-часам;ИИ-агент;0;0.1;1;0;1;0.1;0
Рассчитать затраты по операциям узлам и тепловозу в целом;ИИ-агент;0;0.1;1;0;1;0.1;0
Проверить результаты на аномалии;Калькулятор;1200;0.5;1;600;1;0.5;600
Устранить ошибки или объяснить обоснованные отклонения;Калькулятор;1200;1;1;1200;0.6;0.6;720
ИТОГО — ШАГ 9;;;1.8;5;1800;;1.4;1320
ШАГ 10. Распределить накладные расходы на изделие;;;;;;;;;
Применить ставки накладных к базам распределения по каждому центру затрат;ИИ-агент;0;0.1;1;0;1;0.1;0
Отнести накладные на уровень узлов и готового тепловоза;ИИ-агент;0;0.1;1;0;1;0.1;0
Проверить корректность разнесения — сверка суммы с бюджетом;Калькулятор;1200;0.3;1;360;1;0.3;360
ИТОГО — ШАГ 10;;;0.5;3;360;;0.5;360
ШАГ 11. Запустить пересчёт стандартной себестоимости в учётной системе;;;;;;;;;
Проверить полноту входных данных в системе;ИИ-агент;0;0.1;1;0;1;0.1;0
Запустить пересчёт стандартной себестоимости от деталей до готового тепловоза;ИИ-агент;0;0.1;1;0;1;0.1;0
Проверить журнал ошибок после расчёта;ИИ-агент;0;0.1;1;0;1;0.1;0
Устранить ошибки и перезапустить расчёт при необходимости;Калькулятор;1200;1;1;1200;0.4;0.4;480
Выгрузить результаты расчёта для анализа;ИИ-агент;0;0.1;1;0;1;0.1;0
ИТОГО — ШАГ 11;;;1.4;5;1200;;0.8;480
ШАГ 12. Проанализировать изменения себестоимости;;;;;;;;;
Сравнить новую стандартную себестоимость с предыдущей версией постатейно;ИИ-агент;0;0.2;1;0;1;0.2;0
Сравнить с фактическими данными за период;ИИ-агент;0;0.2;1;0;1;0.2;0
Выделить вклад каждой составляющей (материалы ставки накладные);ИИ-агент;0;0.2;1;0;1;0.2;0
Подготовить аналитическую справку с объяснением ключевых отклонений;Калькулятор;1200;1.5;1;1800;1;1.5;1800
Уточнить нетипичные отклонения у производства или снабжения;Координатор;1100;0.5;1;550;0.5;0.25;275
Скорректировать входные данные и перезапустить расчёт при необходимости;Калькулятор;1200;0.3;1;360;0.3;0.09;108
ИТОГО — ШАГ 12;;;2.9;7;2710;;2.44;2183
ШАГ 13. Согласовать и утвердить новую себестоимость;;;;;;;;;
Подготовить пакет материалов для согласования (расчёт справка допущения цены);Калькулятор;1200;2;2;2400;1;2;2400
Разослать пакет в КБ ТБ производство снабжение финансы коммерцию;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответов от служб;—;0;0;7;0;1;0;0
Направить напоминание службам не ответившим в срок;ИИ-агент;0;0;1;0;0.8;0;0
Ожидание ответов после напоминания;—;0;0;3;0;0.8;0;0
Собрать и систематизировать замечания и вопросы от каждой службы;ИИ-агент;0;0.2;1;0;1;0.2;0
Ответить на уточняющие вопросы по методологии ценам и допущениям;Калькулятор;1200;1;2;1200;0.8;0.8;960
Провести рабочее совещание при существенных разногласиях;Руководитель;2000;2;1;4000;0.3;0.6;1200
Скорректировать расчёт и направить на повторное согласование;ИИ-агент;0;0.5;1;0;0.3;0.15;0
Ожидание повторных ответов после доработки;—;0;0;3;0;0.3;0;0
Получить итоговое согласование от всех служб;ИИ-агент;0;0.1;1;0;1;0.1;0
Оформить протокол согласования с фиксацией допущений и решений;ИИ-агент;0;0.3;1;0;1;0.3;0
Передать протокол на утверждение уполномоченному руководителю;ИИ-агент;0;0.1;1;0;1;0.1;0
Получить подписанный протокол;ИИ-агент;0;0.1;1;0;1;0.1;0
ИТОГО — ШАГ 13;;;6.4;26;7600;;4.45;4560
ШАГ 14. Обновить данные в системах и запустить контроль отклонений;;;;;;;;;
Активировать новые стандартные себестоимости и ставки в системе;ИИ-агент;0;0.2;1;0;1;0.2;0
Провести контрольную проверку — сверить несколько позиций вручную;Калькулятор;1200;0.5;1;600;1;0.5;600
Проверить что отчёты план/факт перестроились на новые данные;ИИ-агент;0;0.2;1;0;1;0.2;0
Направить уведомление службам об активации новых ставок и дате вступления;ИИ-агент;0;0.1;1;0;1;0.1;0
ИТОГО — ШАГ 14;;;1;4;600;;1;600
БЛОК 2. ПРОИЗВОДСТВЕННОЕ ПЛАНИРОВАНИЕ;;;;;;;;;
ШАГ 15. Рассчитать нормативный срок изготовления тепловоза;;;;;;;;;
Выгрузить нормо-часы по операциям в разрезе производственных участков;ИИ-агент;0;0.1;1;0;1;0.1;0
Сопоставить операции с производственным календарём и режимом работы участков;ИИ-агент;0;0.3;1;0;1;0.3;0
Рассчитать длительность цикла по узлам с учётом параллельности операций;ИИ-агент;0;0.3;1;0;1;0.3;0
Добавить нормативные сроки поставки ключевых покупных комплектующих;ИИ-агент;0;0.1;1;0;1;0.1;0
Получить итоговый нормативный срок от запуска до сдачи тепловоза;Плановик;1300;0.3;1;390;1;0.3;390
ИТОГО — ШАГ 15;;;1.1;6;390;;1.1;390
ШАГ 16. Оценить доступные производственные мощности;;;;;;;;;
Запросить у производства данные о загрузке участков и оборудования на расчётный период;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответа от производства;—;0;0;5;0;1;0;0
Направить напоминание при отсутствии ответа в срок;ИИ-агент;0;0;1;0;0.5;0;0
Сопоставить потребность по тепловозу с доступными мощностями;ИИ-агент;0;0.3;1;0;1;0.3;0
Выявить узкие места — участки с недостаточной пропускной способностью;ИИ-агент;0;0.2;1;0;1;0.2;0
Оформить справку о доступных мощностях с выводом о реалистичности срока;Плановик;1300;0.5;1;650;1;0.5;650
ИТОГО — ШАГ 16;;;1.1;10;650;;1.1;650
ШАГ 17. Сформировать и согласовать производственный график;;;;;;;;;
Определить возможную дату запуска с учётом комплектующих и мощностей;Плановик;1300;0.5;1;650;1;0.5;650
Составить укрупнённый производственный график по узлам и этапам сборки;ИИ-агент;0;0.5;2;0;1;0.5;0
Направить проект графика на согласование в производство и снабжение одновременно;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответов;—;0;0;5;0;1;0;0
Направить напоминания при отсутствии ответа в срок;ИИ-агент;0;0;1;0;0.5;0;0
Скорректировать график по полученным замечаниям;Плановик;1300;0.5;1;650;0.6;0.3;390
Согласовать итоговый график;ИИ-агент;0;0.1;1;0;1;0.1;0
Передать утверждённый график руководителю;ИИ-агент;0;0.1;1;0;1;0.1;0
Зафиксировать плановую дату сдачи как основу для коммерческого предложения;Руководитель;2000;0.3;1;600;1;0.3;600
ИТОГО — ШАГ 17;;;2.1;14;1900;;1.9;1640
ИТОГО ОБЩЕЕ;;;30.5;;28920;;25.85;22718
